reviews,category_sentiment,category,sentiment
"Jorok, seprei bantal dan kasur kotor dan tdk diganti, handuk bekas pakai masih tergantung...",linen_P1-neg,linen_P1,neg
lantai kamar jorok,kebersihan-neg,kebersihan,neg
Belum ada selimut dan tVnya. Kamarnya dingin banget meski AC dimatikan harusnya ada selimut. Belum ada alat mandinya juga. Tapi enak ruangannya bersih banget. ,linen_P1-neg,linen_P1,neg
Belum ada selimut dan tVnya. Kamarnya dingin banget meski AC dimatikan harusnya ada selimut. Belum ada alat mandinya juga. Tapi enak ruangannya bersih banget. ,tv_P1-neg,tv_P1,neg
Belum ada selimut dan tVnya. Kamarnya dingin banget meski AC dimatikan harusnya ada selimut. Belum ada alat mandinya juga. Tapi enak ruangannya bersih banget. ,kebersihan-pos,kebersihan,pos
"kamarnya bersih nyaman,  tapi ac nya kurang dingin..",kebersihan-pos,kebersihan,pos
"kamarnya bersih nyaman,  tapi ac nya kurang dingin..",ac_P1-neg,ac_P1,neg
"bad wifi, bad breakfast",-ignored-,,ignored
there's no hot water in the shower,-ignored-,,ignored
"saat nginap remot AC dan TV sepertinya low batteries sehingga sulit untuk matikan dan hidupkan.. Ada insiden AC mati beberapa menit saat pagi hari.Aliran kran air kecil, harus nunggu ember penuh dulu baru mandi. overall, masih lumayan lah dengan budget segitu",ac_P1-neg,ac_P1,neg
"saat nginap remot AC dan TV sepertinya low batteries sehingga sulit untuk matikan dan hidupkan.. Ada insiden AC mati beberapa menit saat pagi hari.Aliran kran air kecil, harus nunggu ember penuh dulu baru mandi. overall, masih lumayan lah dengan budget segitu",tv_P1-neg,tv_P1,neg
"saat nginap remot AC dan TV sepertinya low batteries sehingga sulit untuk matikan dan hidupkan.. Ada insiden AC mati beberapa menit saat pagi hari.Aliran kran air kecil, harus nunggu ember penuh dulu baru mandi. overall, masih lumayan lah dengan budget segitu",general-pos,general,pos
kurang persiapan untuk melayani atau dalam menyiapkan kamar yg akan di gunakan dan kebersihan dari kamar sangat kura karena banyak sekali debu di tempat tidur,service-neg,service,neg
kurang persiapan untuk melayani atau dalam menyiapkan kamar yg akan di gunakan dan kebersihan dari kamar sangat kura karena banyak sekali debu di tempat tidur,kebersihan-neg,kebersihan,neg
kurang persiapan untuk melayani atau dalam menyiapkan kamar yg akan di gunakan dan kebersihan dari kamar sangat kura karena banyak sekali debu di tempat tidur,linen_P1-neg,linen_P1,neg
"wifi kurang kenceng , susah sinyal (entah karena kamar nya di bawah) , tapi sisa nya bagus sih .",wifi_P1-neg,wifi_P1,neg
"wifi kurang kenceng , susah sinyal (entah karena kamar nya di bawah) , tapi sisa nya bagus sih .",general-pos,general,pos
AC nya gak dingin ,ac_P1-neg,ac_P1,neg
"sangat bagus sekali. tapi sayang, agak serem gitu ya.. selimut dan seprenya harus di perhatikan kembali. di ganti kalau bisa. agak bau. ",linen_P1-neg,linen_P1,neg
"1.Telivisi kurang turun posisi nya , sehingga kalau tiduran sambil nonton tv , gak kelihatan gambarnya , cuma bayang2 nya ,nonton duduk jga sama gambarnya. 2.Tidak ada kursi nya , 3.hexos fun kamar mandi nya dalam keadaan mati. 4.air minum isi ulang hanya ada 2 , dingin dan panas., saya butuhnya air bukan dingin.",tv_P1-neg,tv_P1,neg
"1.Telivisi kurang turun posisi nya , sehingga kalau tiduran sambil nonton tv , gak kelihatan gambarnya , cuma bayang2 nya ,nonton duduk jga sama gambarnya. 2.Tidak ada kursi nya , 3.hexos fun kamar mandi nya dalam keadaan mati. 4.air minum isi ulang hanya ada 2 , dingin dan panas., saya butuhnya air bukan dingin.",linen_P1-neg,linen_P1,neg
fasilitas di kamar mandi lebih di bersihkan lagi.. kurang begitu nyaman,kebersihan-neg,kebersihan,neg
Ace nya kurang dinginn,ac_P1-neg,ac_P1,neg
"waktu melakukan check in menunggu 1/2 jam , pdhal saya sudah lelah mau istirahat, ditambah utk snack dr airy td tersedia krn stock habis.yasudlah.. tp utk fasilitas ok lah...",service-neg,service,neg
"waktu melakukan check in menunggu 1/2 jam , pdhal saya sudah lelah mau istirahat, ditambah utk snack dr airy td tersedia krn stock habis.yasudlah.. tp utk fasilitas ok lah...",linen_P1-neg,linen_P1,neg
Tidak kasi passworad WiFi ya kamar ya panas walau ada AC retak-retak,wifi_P1-neg,wifi_P1,neg
Tidak kasi passworad WiFi ya kamar ya panas walau ada AC retak-retak,ac_P1-neg,ac_P1,neg
Tempat ny bagus bersih ac dingin karyawan ramah cm ko klo malem wifi ny d matiin ya xixixi... Klo bs jangan ya itu kan fasilitas buat kami masa d matiin ga bs Internetan dunk.. But all the best pokok ny... ,kebersihan-pos,kebersihan,pos
Tempat ny bagus bersih ac dingin karyawan ramah cm ko klo malem wifi ny d matiin ya xixixi... Klo bs jangan ya itu kan fasilitas buat kami masa d matiin ga bs Internetan dunk.. But all the best pokok ny... ,service-pos,service,pos
Tempat ny bagus bersih ac dingin karyawan ramah cm ko klo malem wifi ny d matiin ya xixixi... Klo bs jangan ya itu kan fasilitas buat kami masa d matiin ga bs Internetan dunk.. But all the best pokok ny... ,wifi_P1-neg,wifi_P1,neg
"Plus: kamar nyaman, interior sudah bagus, AC dingin, air hangat, lokasi strategis dekat mall, terang, resepsionis ramah. Minus: ada rambut bekas penghuni sebelumnya di lubang pembuangan kamar mandi, bangkai nyamuk di wastafel, remote AC baru ada setelah diminta, ga ada tisu, keset lama. Secara keseluruhan: nyaman, sesuai harga. Terima kasih.",ac_P1-pos,ac_P1,pos
"Plus: kamar nyaman, interior sudah bagus, AC dingin, air hangat, lokasi strategis dekat mall, terang, resepsionis ramah. Minus: ada rambut bekas penghuni sebelumnya di lubang pembuangan kamar mandi, bangkai nyamuk di wastafel, remote AC baru ada setelah diminta, ga ada tisu, keset lama. Secara keseluruhan: nyaman, sesuai harga. Terima kasih.",air_panas_P1-pos,air_panas_P1,pos
"Plus: kamar nyaman, interior sudah bagus, AC dingin, air hangat, lokasi strategis dekat mall, terang, resepsionis ramah. Minus: ada rambut bekas penghuni sebelumnya di lubang pembuangan kamar mandi, bangkai nyamuk di wastafel, remote AC baru ada setelah diminta, ga ada tisu, keset lama. Secara keseluruhan: nyaman, sesuai harga. Terima kasih.",service-pos,service,pos
"Plus: kamar nyaman, interior sudah bagus, AC dingin, air hangat, lokasi strategis dekat mall, terang, resepsionis ramah. Minus: ada rambut bekas penghuni sebelumnya di lubang pembuangan kamar mandi, bangkai nyamuk di wastafel, remote AC baru ada setelah diminta, ga ada tisu, keset lama. Secara keseluruhan: nyaman, sesuai harga. Terima kasih.",kebersihan-neg,kebersihan,neg
"Plus: kamar nyaman, interior sudah bagus, AC dingin, air hangat, lokasi strategis dekat mall, terang, resepsionis ramah. Minus: ada rambut bekas penghuni sebelumnya di lubang pembuangan kamar mandi, bangkai nyamuk di wastafel, remote AC baru ada setelah diminta, ga ada tisu, keset lama. Secara keseluruhan: nyaman, sesuai harga. Terima kasih.",linen_P1-neg,linen_P1,neg
"Plus: kamar nyaman, interior sudah bagus, AC dingin, air hangat, lokasi strategis dekat mall, terang, resepsionis ramah. Minus: ada rambut bekas penghuni sebelumnya di lubang pembuangan kamar mandi, bangkai nyamuk di wastafel, remote AC baru ada setelah diminta, ga ada tisu, keset lama. Secara keseluruhan: nyaman, sesuai harga. Terima kasih.",general-pos,general,pos
"Pelayanan ramah dan responsif dari petugas, harga terjangkau dengan kualitas bagus tapi tv datar tidak jernih gambarnya dan lampu kamar kurang terang",service-pos,service,pos
"Pelayanan ramah dan responsif dari petugas, harga terjangkau dengan kualitas bagus tapi tv datar tidak jernih gambarnya dan lampu kamar kurang terang",tv_P1-neg,tv_P1,neg
pada umumnya semua sdh baik. hanya di kamar mandi saluran airnya banyak rambut sehingga air sedikit menggenang,general-pos,general,pos
pada umumnya semua sdh baik. hanya di kamar mandi saluran airnya banyak rambut sehingga air sedikit menggenang,kebersihan-neg,kebersihan,neg
"lantai paling atas kebersihannya kurang, banyak barang di lorong dpn kamar",kebersihan-neg,kebersihan,neg
Cukup baik tp harus pindah kamar karena AC rusak tp dipindahkannya ke kamar yg bukan airy dan snack tidak dipindahkan jd kita tidak sempat makan snack huft perlu di tingkatkan kualitas kamarnya,ac_P1-neg,ac_P1,neg
Cukup baik tp harus pindah kamar karena AC rusak tp dipindahkannya ke kamar yg bukan airy dan snack tidak dipindahkan jd kita tidak sempat makan snack huft perlu di tingkatkan kualitas kamarnya,linen_P1-neg,linen_P1,neg
"tidak ada wifi , air tidak panas , ruangan cukup bau dan colokan hanya 1",wifi_P1-neg,wifi_P1,neg
"tidak ada wifi , air tidak panas , ruangan cukup bau dan colokan hanya 1",air_panas_P1-neg,air_panas_P1,neg
"tidak ada wifi , air tidak panas , ruangan cukup bau dan colokan hanya 1",bau_P1-neg,bau_P1,neg
kamar bau pengap,bau_P1-neg,bau_P1,neg
keseluruhannya bagus tapi ga ada air panasnya,general-pos,general,pos
keseluruhannya bagus tapi ga ada air panasnya,air_panas_P1-neg,air_panas_P1,neg
"kamar cukup spacious ya, staf pun ramah. cuma lantainya agak berdebu dan colokan listrik hanya tersedia satu. itupun kondisinya ambrol dari tempatnya. AC juga kurang dingin. ",service-pos,service,pos
"kamar cukup spacious ya, staf pun ramah. cuma lantainya agak berdebu dan colokan listrik hanya tersedia satu. itupun kondisinya ambrol dari tempatnya. AC juga kurang dingin. ",kebersihan-neg,kebersihan,neg
"kamar cukup spacious ya, staf pun ramah. cuma lantainya agak berdebu dan colokan listrik hanya tersedia satu. itupun kondisinya ambrol dari tempatnya. AC juga kurang dingin. ",ac_P1-neg,ac_P1,neg
kamar mandi kadang2 agak bau,bau_P1-neg,bau_P1,neg
"buruk, kotor",kebersihan-neg,kebersihan,neg
"Staff kurang sopan, dan kurang aktif untuk assist tamu.",service-neg,service,neg
"kamar mandinya kurang bersih dan sedikit bau, selebihnya oke lah",kebersihan-neg,kebersihan,neg
"kamar mandinya kurang bersih dan sedikit bau, selebihnya oke lah",bau_P1-neg,bau_P1,neg
"kamar mandinya kurang bersih dan sedikit bau, selebihnya oke lah",general-pos,general,pos
"tidak recommended, ac tidak dingin, air keluar nya kecil, remot tv tidak bisa di gunakan.",ac_P1-neg,ac_P1,neg
"tidak recommended, ac tidak dingin, air keluar nya kecil, remot tv tidak bisa di gunakan.",tv_P1-neg,tv_P1,neg
"Nyaman, bersih, sarapan enak.. Namun sayang yg kamar di lantai bawah susah sinyal, wifi pun susah hrs didekat pintu baru nyaut..",kebersihan-pos,kebersihan,pos
"Nyaman, bersih, sarapan enak.. Namun sayang yg kamar di lantai bawah susah sinyal, wifi pun susah hrs didekat pintu baru nyaut..",sunrise_meal_P1-pos,sunrise_meal_P1,pos
"Nyaman, bersih, sarapan enak.. Namun sayang yg kamar di lantai bawah susah sinyal, wifi pun susah hrs didekat pintu baru nyaut..",wifi_P1-neg,wifi_P1,neg
"Kamarnya nyaman, sayang handuknya bau ",linen_P1-neg,linen_P1,neg
"kamar kurang bersih,  wastafel bocor,  air panas tidak berfungsi",kebersihan-neg,kebersihan,neg
"kamar kurang bersih,  wastafel bocor,  air panas tidak berfungsi",air_panas_P1-neg,air_panas_P1,neg
"kamar kecil, gak ada tisu, proses cek in lama. sarapan enak n lumayan komplit.",linen_P1-neg,linen_P1,neg
"kamar kecil, gak ada tisu, proses cek in lama. sarapan enak n lumayan komplit.",service-neg,service,neg
"kamar kecil, gak ada tisu, proses cek in lama. sarapan enak n lumayan komplit.",sunrise_meal_P1-pos,sunrise_meal_P1,pos
layanan customer service nya kurang memuaskan. tidak bebas keluar masuk di jam malam karena pagar di kunci oleh petugas jaga. jadinya berasa seperti tinggal di kos kosan. layanan customer servis tidak 24 jam. tidak ada sandal untuk penghuni hotel.,service-neg,service,neg
layanan customer service nya kurang memuaskan. tidak bebas keluar masuk di jam malam karena pagar di kunci oleh petugas jaga. jadinya berasa seperti tinggal di kos kosan. layanan customer servis tidak 24 jam. tidak ada sandal untuk penghuni hotel.,linen_P1-neg,linen_P1,neg
Karyawan kurang ramah,service-neg,service,neg
kamar mandi saluran airnya macet. tv remotnya gabisa dipake. pegawai terlalu berisik mengganggu ketenangan. sarung bantal kotor. tidak ada alat solat.. tidak ada alas kaki.,tv_P1-neg,tv_P1,neg
kamar mandi saluran airnya macet. tv remotnya gabisa dipake. pegawai terlalu berisik mengganggu ketenangan. sarung bantal kotor. tidak ada alat solat.. tidak ada alas kaki.,service-neg,service,neg
kamar mandi saluran airnya macet. tv remotnya gabisa dipake. pegawai terlalu berisik mengganggu ketenangan. sarung bantal kotor. tidak ada alat solat.. tidak ada alas kaki.,linen_P1-neg,linen_P1,neg
kamar mandi saluran airnya macet. tv remotnya gabisa dipake. pegawai terlalu berisik mengganggu ketenangan. sarung bantal kotor. tidak ada alat solat.. tidak ada alas kaki.,kebersihan-neg,kebersihan,neg
makanan terlalu asin pelayanan kurang ramah,sunrise_meal_P1-neg,sunrise_meal_P1,neg
makanan terlalu asin pelayanan kurang ramah,service-neg,service,neg
peralatan mandi harus tlp dulu baru diantar. snack nya katanya habis. pemanas air minum nya rusak tdk bisa dibuka. akhirnya diambilkan yg tdk rusak. kamar mandi mampet. kalau mandi airnya banjir . kebersihan oke. tapi balkon nya kalau dibuka bau sekali sampah. karna dibawah tempat pembuangan sampah. sendok dan garpu hanya disediakan untuk 1 org. ,linen_P1-neg,linen_P1,neg
peralatan mandi harus tlp dulu baru diantar. snack nya katanya habis. pemanas air minum nya rusak tdk bisa dibuka. akhirnya diambilkan yg tdk rusak. kamar mandi mampet. kalau mandi airnya banjir . kebersihan oke. tapi balkon nya kalau dibuka bau sekali sampah. karna dibawah tempat pembuangan sampah. sendok dan garpu hanya disediakan untuk 1 org. ,kebersihan-pos,kebersihan,pos
peralatan mandi harus tlp dulu baru diantar. snack nya katanya habis. pemanas air minum nya rusak tdk bisa dibuka. akhirnya diambilkan yg tdk rusak. kamar mandi mampet. kalau mandi airnya banjir . kebersihan oke. tapi balkon nya kalau dibuka bau sekali sampah. karna dibawah tempat pembuangan sampah. sendok dan garpu hanya disediakan untuk 1 org. ,bau_P1-neg,bau_P1,neg
"snack g ada, tapi keseluruhan baik, mantappp",linen_P1-neg,linen_P1,neg
"snack g ada, tapi keseluruhan baik, mantappp",general-pos,general,pos
"lokasi strategis, ac kurang dingin.",ac_P1-neg,ac_P1,neg
wifinya ditingkatkan lg,wifi_P1-neg,wifi_P1,neg
"Pelayanannya ramah, kamar kurang bersih Dan nyaman, ada jendela yang rusak, airnya panas semua.",service-pos,service,pos
"Pelayanannya ramah, kamar kurang bersih Dan nyaman, ada jendela yang rusak, airnya panas semua.",kebersihan-neg,kebersihan,neg
"Pelayanannya ramah, kamar kurang bersih Dan nyaman, ada jendela yang rusak, airnya panas semua.",air_panas_P1-neg,air_panas_P1,neg
kebersihan kamar mandi kebersihan ruang tidur - kolong tempat tidur seperti tidak pernah dibersihkan,kebersihan-neg,kebersihan,neg
"pelayannya baik, kamar bersih rapi,makanannya juga lumayan enak, hanya saja acnya berisik mengganggu kenyamanan beristirahat.",service-pos,service,pos
"pelayannya baik, kamar bersih rapi,makanannya juga lumayan enak, hanya saja acnya berisik mengganggu kenyamanan beristirahat.",kebersihan-pos,kebersihan,pos
"pelayannya baik, kamar bersih rapi,makanannya juga lumayan enak, hanya saja acnya berisik mengganggu kenyamanan beristirahat.",sunrise_meal_P1-pos,sunrise_meal_P1,pos
"pelayannya baik, kamar bersih rapi,makanannya juga lumayan enak, hanya saja acnya berisik mengganggu kenyamanan beristirahat.",ac_P1-neg,ac_P1,neg
"bersih,nyaman,aman,tp snak sepertinya stok lama tdk pernah diganti",kebersihan-pos,kebersihan,pos
"bersih,nyaman,aman,tp snak sepertinya stok lama tdk pernah diganti",linen_P1-neg,linen_P1,neg
"tempat lumayan, ac ga dingin dan banyak nyamuk ",ac_P1-neg,ac_P1,neg
Kamar mandinya bau.. Snack airy slama 2 hari menginap ndak dapat. Katanya habis. Benarkah? Pelayanan cukup bagus.,bau_P1-neg,bau_P1,neg
Kamar mandinya bau.. Snack airy slama 2 hari menginap ndak dapat. Katanya habis. Benarkah? Pelayanan cukup bagus.,linen_P1-neg,linen_P1,neg
Kamar mandinya bau.. Snack airy slama 2 hari menginap ndak dapat. Katanya habis. Benarkah? Pelayanan cukup bagus.,service-pos,service,pos
toilet and bed sheet are dirty,-ignored-,,ignored
nyaman tapi wifi nya kurang ,wifi_P1-neg,wifi_P1,neg
"kamar bersih dan nyaman,..cuma ac kurang dingin..mungkin bisa dicek rutin akan lebih baik",kebersihan-pos,kebersihan,pos
"kamar bersih dan nyaman,..cuma ac kurang dingin..mungkin bisa dicek rutin akan lebih baik",ac_P1-neg,ac_P1,neg
bersih. rapi. tapi WiFi tidak ada,kebersihan-pos,kebersihan,pos
bersih. rapi. tapi WiFi tidak ada,wifi_P1-neg,wifi_P1,neg
chanel tv banyak yg jelek.  tolong antena nya atau parabola di perbaiki,tv_P1-neg,tv_P1,neg
"kondisi kamar kotor, ac tidak dingin, wifi gak fungsi sama sekali... not recommended",kebersihan-neg,kebersihan,neg
"kondisi kamar kotor, ac tidak dingin, wifi gak fungsi sama sekali... not recommended",ac_P1-neg,ac_P1,neg
"kondisi kamar kotor, ac tidak dingin, wifi gak fungsi sama sekali... not recommended",wifi_P1-neg,wifi_P1,neg
AC tdk berfungsi dengan baik,ac_P1-neg,ac_P1,neg
"lokasi dekat pusat kota , wisata kuliner pecenongan. parkir sempi. air panas mandi tidak ada(katanya ada).",air_panas_P1-neg,air_panas_P1,neg
"tempat nya si nyaman, tidak berisik dan bersih.. cuma tolong seprai dan selimut nya di cuci kalau habis ada yang cek out... handuk nya juga di cuci atau nga di londri, bekas banyak orang jorok... takut kena penyakit",kebersihan-pos,kebersihan,pos
"tempat nya si nyaman, tidak berisik dan bersih.. cuma tolong seprai dan selimut nya di cuci kalau habis ada yang cek out... handuk nya juga di cuci atau nga di londri, bekas banyak orang jorok... takut kena penyakit",linen_P1-neg,linen_P1,neg
"Untuk airy saya rasa cukup baik,  karna mulai dari pemesan hingga checkin igu terbilang udah,  hanya saja pelayanan dari pihak hotel yang tergolong acuh mengharuskan kita bertindak lebih aktif ketimbang biasanya,  plusnya mereka cukup rama terhadap tamu dan memenuhi permintaan tamu",service-neg,service,neg
Horor suasana lorongnya kata anak saya.AC gak begitu dingin.,ac_P1-neg,ac_P1,neg
"Saya dapat kamar lantai 1 no 3, overall baik, cuma air panasnya gak ada..",general-pos,general,pos
"Saya dapat kamar lantai 1 no 3, overall baik, cuma air panasnya gak ada..",air_panas_P1-neg,air_panas_P1,neg
Best you can get around Ciputra area. 10 minutes ride to Universitas Ciputra. Plus: Good place to rest. Neat. Quiet place. Minus: No elevator. Wifi password not given when you check in after 9pm. The reception is only until 9pm.,-ignored-,,ignored
"Dari 2 kamar yang di sewa,  yg 1 bagus banget dgn fasilitas ok.  Kamar yg 1 lagi perlu perhatian.  Ac tdk dingin,  kloset rusak,  dan listrik bisa mati sendiri. Semoga bisa lebih baik nanti.  ",ac_P1-neg,ac_P1,neg
"pelayanan kurang memuaskan, pertama masuk kamar tidak ada handuk, terus telpon minta handuk di kasih kesed, sampe akhirnya bener dikasih handuk, kamar luas, tapi lampu kaca tidak hidup, enak ada balkon meskipun sempit banget balkon nya. pintu kluar balkon tidak bisa menutup rapat. kasurnya bunyi bunyi klo lagi tdur trus geser dikit bunyi. ",service-neg,service,neg
"pelayanan kurang memuaskan, pertama masuk kamar tidak ada handuk, terus telpon minta handuk di kasih kesed, sampe akhirnya bener dikasih handuk, kamar luas, tapi lampu kaca tidak hidup, enak ada balkon meskipun sempit banget balkon nya. pintu kluar balkon tidak bisa menutup rapat. kasurnya bunyi bunyi klo lagi tdur trus geser dikit bunyi. ",linen_P1-neg,linen_P1,neg
Kamar sedikit berdebu.,kebersihan-neg,kebersihan,neg
kamar kecil tapi sebanding dgn harganya.. 1 kamar panas sekali AC nya tidak berfungsi..,ac_P1-neg,ac_P1,neg
"Tidak recomended, semuanya mengecewakan! , tidak ada breakfast.., pas pertama checkin lihat tikus gede banget melintas di depan kaki, pas masuk ke Room, pintu kamar mandinya tidak bisa di kunci, tv nya rusak (padahal tv Lcd) , Ac nya tidak ada remote, jadi kalo mau matiin /nyalain Ac harus ke lobby dulu..  Tidak recomended ",general-neg,general,neg
"Tidak recomended, semuanya mengecewakan! , tidak ada breakfast.., pas pertama checkin lihat tikus gede banget melintas di depan kaki, pas masuk ke Room, pintu kamar mandinya tidak bisa di kunci, tv nya rusak (padahal tv Lcd) , Ac nya tidak ada remote, jadi kalo mau matiin /nyalain Ac harus ke lobby dulu..  Tidak recomended ",sunrise_meal_P1-neg,sunrise_meal_P1,neg
"Tidak recomended, semuanya mengecewakan! , tidak ada breakfast.., pas pertama checkin lihat tikus gede banget melintas di depan kaki, pas masuk ke Room, pintu kamar mandinya tidak bisa di kunci, tv nya rusak (padahal tv Lcd) , Ac nya tidak ada remote, jadi kalo mau matiin /nyalain Ac harus ke lobby dulu..  Tidak recomended ",tv_P1-neg,tv_P1,neg
"Tidak recomended, semuanya mengecewakan! , tidak ada breakfast.., pas pertama checkin lihat tikus gede banget melintas di depan kaki, pas masuk ke Room, pintu kamar mandinya tidak bisa di kunci, tv nya rusak (padahal tv Lcd) , Ac nya tidak ada remote, jadi kalo mau matiin /nyalain Ac harus ke lobby dulu..  Tidak recomended ",ac_P1-neg,ac_P1,neg
"baru masuk liat bantal banyak lipstiknya langsung minta ganti eh malah ngomel harusnya kena cas padahal baru masuk kamar, kloset mati dan peralatan mandi hanya satu.",linen_P1-neg,linen_P1,neg
kamar mandinya bau kaki dan ada kecoanya,bau_P1-neg,bau_P1,neg
kamar mandinya bau kaki dan ada kecoanya,kebersihan-neg,kebersihan,neg
"Lumayan, tapi wifinya tidak bisa connect",wifi_P1-neg,wifi_P1,neg
"Fasilitas tidak seperti di deskripsi, tidak ada WiFi, air mineral dan snack cuma dapat sekali padahal menginap 2 hari. Lumayan dengan harga segitu, tempat sangat strategis pas di belakang mal.",wifi_P1-neg,wifi_P1,neg
"Fasilitas tidak seperti di deskripsi, tidak ada WiFi, air mineral dan snack cuma dapat sekali padahal menginap 2 hari. Lumayan dengan harga segitu, tempat sangat strategis pas di belakang mal.",linen_P1-neg,linen_P1,neg
Ac tidak dingin dan kursi meja rias nya rusak.,ac_P1-neg,ac_P1,neg
Baik tapi minta tolong room nya dibersihkan dan cek kembali apakah room tersebut layak dibooked tidak krmn saia tidak nyaman karena kondisi seprai dan sarung bantal tdk bersih warnanya sudah kusam dan air tdk lancar kamar mandi dan wastafel  lantas keran air yg hampir rusak tolong diperbaiki buat kenyaman costemer... next time biar kami book back..,kebersihan-neg,kebersihan,neg
Baik tapi minta tolong room nya dibersihkan dan cek kembali apakah room tersebut layak dibooked tidak krmn saia tidak nyaman karena kondisi seprai dan sarung bantal tdk bersih warnanya sudah kusam dan air tdk lancar kamar mandi dan wastafel  lantas keran air yg hampir rusak tolong diperbaiki buat kenyaman costemer... next time biar kami book back..,linen_P1-neg,linen_P1,neg
apakah Snack tidak tersedia disni ? yg lain oke semua ,wifi_P1-neg,wifi_P1,neg
apakah Snack tidak tersedia disni ? yg lain oke semua ,general-pos,general,pos
"semuanya bagus,memuaskan,kamarnya lebih besar, cm 1 sih yg kurang puas,sprei nya agak kotor ada bercak2 hitam gt tp selebihnya bagus,ada snacknya,baru prtama x nginap pake airy",general-pos,general,pos
"semuanya bagus,memuaskan,kamarnya lebih besar, cm 1 sih yg kurang puas,sprei nya agak kotor ada bercak2 hitam gt tp selebihnya bagus,ada snacknya,baru prtama x nginap pake airy",linen_P1-neg,linen_P1,neg
"semuanya bagus,memuaskan,kamarnya lebih besar, cm 1 sih yg kurang puas,sprei nya agak kotor ada bercak2 hitam gt tp selebihnya bagus,ada snacknya,baru prtama x nginap pake airy",kebersihan-neg,kebersihan,neg
"Awalnya dapat kamar yg jelek dgn air panas yg tdk berfungsi,,kasur kotor,,lampu remang2,,minum dan snack airy jg tdk ada. Stelah konfirmasi ke hotel baru dipindahkan kamarnya ke tempat yg lumayan. Air panas jg msh tdk berfungsi dgn baik. Lift menuju ruangan jg msh rusak dlm perbaikan. Lorong sepi dan seram. Kamar tua.",air_panas_P1-neg,air_panas_P1,neg
"Awalnya dapat kamar yg jelek dgn air panas yg tdk berfungsi,,kasur kotor,,lampu remang2,,minum dan snack airy jg tdk ada. Stelah konfirmasi ke hotel baru dipindahkan kamarnya ke tempat yg lumayan. Air panas jg msh tdk berfungsi dgn baik. Lift menuju ruangan jg msh rusak dlm perbaikan. Lorong sepi dan seram. Kamar tua.",kebersihan-neg,kebersihan,neg
"Awalnya dapat kamar yg jelek dgn air panas yg tdk berfungsi,,kasur kotor,,lampu remang2,,minum dan snack airy jg tdk ada. Stelah konfirmasi ke hotel baru dipindahkan kamarnya ke tempat yg lumayan. Air panas jg msh tdk berfungsi dgn baik. Lift menuju ruangan jg msh rusak dlm perbaikan. Lorong sepi dan seram. Kamar tua.",linen_P1-neg,linen_P1,neg
"Kata pegawai saya membayar terlalu murah, di kasih tau kalo berikut mau booking langsung aja ke tempat penginapannya, katanya nggak usah pesan lewat aplikasi (Airy) . Kan lebih praktis lebih cepat dan lebih mudah kalo mau booking lewat aplikasi, kok malah di suruh jangan lagi pesan pake aplikasi, sangat di sayangkan,",service-neg,service,neg
"yang perlu diperbaiki: 1 kamar snack airy nya kosong, 1 kamar gak ada kantong peralatan mandi",linen_P1-neg,linen_P1,neg
ac nya ngga dingin.tempat tidur oke.kamar mandi oke kebersihan mantap pelayanan ramah tks airy,ac_P1-neg,ac_P1,neg
ac nya ngga dingin.tempat tidur oke.kamar mandi oke kebersihan mantap pelayanan ramah tks airy,kebersihan-pos,kebersihan,pos
ac nya ngga dingin.tempat tidur oke.kamar mandi oke kebersihan mantap pelayanan ramah tks airy,service-pos,service,pos
"AC tidak dingin, kondisi kamar pengap.",ac_P1-neg,ac_P1,neg
"AC tidak dingin, kondisi kamar pengap.",bau_P1-neg,bau_P1,neg
kamar agak bau. ridak mirip dengan foto,bau_P1-neg,bau_P1,neg
"kamarnya bagus sesuai keinginan,  cuma ac nya kurang dingin.",ac_P1-neg,ac_P1,neg
"Air di kamar mandi kecil dan sering macet, parkiran kecil tetapi nyaman beristirahat dan kualitas gambar di channel TV buram serta WiFi yang tidak tersedia.",tv_P1-neg,tv_P1,neg
"Air di kamar mandi kecil dan sering macet, parkiran kecil tetapi nyaman beristirahat dan kualitas gambar di channel TV buram serta WiFi yang tidak tersedia.",wifi_P1-neg,wifi_P1,neg
"snack complimantary expired, g bs dimakan lg. staf FO hotel tidak teliti waktu check in, jelas2 pesan kamar dengan sarapan, eh diinput tanpa sarapan, pagi nya mau sarapan ditolak karena tertulis room only, sy tunjukan email dari Airy di HP saya, baru di cek ulang di komputer hotelnya, ternyata emang saya booking kamar sudah included breakfast. ",linen_P1-neg,linen_P1,neg
"snack complimantary expired, g bs dimakan lg. staf FO hotel tidak teliti waktu check in, jelas2 pesan kamar dengan sarapan, eh diinput tanpa sarapan, pagi nya mau sarapan ditolak karena tertulis room only, sy tunjukan email dari Airy di HP saya, baru di cek ulang di komputer hotelnya, ternyata emang saya booking kamar sudah included breakfast. ",service-neg,service,neg
"snack complimantary expired, g bs dimakan lg. staf FO hotel tidak teliti waktu check in, jelas2 pesan kamar dengan sarapan, eh diinput tanpa sarapan, pagi nya mau sarapan ditolak karena tertulis room only, sy tunjukan email dari Airy di HP saya, baru di cek ulang di komputer hotelnya, ternyata emang saya booking kamar sudah included breakfast. ",sunrise_meal_P1-neg,sunrise_meal_P1,neg
kamarnya bau apek dan air krannya kadang mau kadang tidak,bau_P1-neg,bau_P1,neg
